Company Name,Industry,Country,Description,Category
Achievers,,CA,"Great culture is the ultimate driver of organizational success. Achievers employee voice and recognition solutions bring your organizations values and strategy to life by activating employee participation and accelerating a culture of performance. 
Achievers leverages the science behind behavior change, so your people and your organization can experience sustainable, data-driven business results anywhere in the world. Integrated insights fuel smarter solutions that deliver just-in-time nudges to the entire organization and an industry-best customer success and support team guides you on every step of the journey. 

Follow us 
Engage Blog: http://achievers.com/blog
Twitter: https://twitter.com/achievers
Facebook: https://www.facebook.com/achieverscommunity
YouTube: https://www.youtube.com/user/AchieversVideos
Instagram: https://www.instagram.com/achievershq",
Metadome.ai,,US,"We are an award winning global 3D & XR technology company that is leading the XR & Metaverse roadmap of fortune 500 companies and enabling brands with end-to-end creation & deployment of immersive customer experiences across web, app, & in-store, and reach spanning all devices.

These experiences come with stunning graphics quality and includes 3D configurator, AR, VR, Virtual Assistant, and Metaverse solutions for the automotive, home décor, and fashion & accessories industries.

With office presence across India & US, the company is a pioneer in XR with 6+ years of expertise and a go-to option for global brands for driving real business outcomes with enhanced engagement & conversions including Stellantis, Lexus, HUL, Mahindra, Asian Paints, MG Motor, and Titan.

For more information and partnership, visit our website or write to us!",
"Adori Labs, Inc.",Software Development,US,"We are reimagining audio! Adori transforms passive audio into premium, actionable experiences by incorporating interactive videos, visual imagery, clickable links, and more.

Creators and publishers have the power to seamlessly blend podcast audio with interactive visual elements to enhance their content, provide a more engaging experience for their audiences, and maximize monetization using multiple revenue strategies. 

Are you a podcaster, network or brand looking to Adorify your audio content? Reach out to us to schedule a demonstration!",
AdPushup,,US,"AdPushup was formed in 2014 with a simple idea: While A/B testing was becoming popular, no one was using it to optimize publisher-side ad layouts. Our founders built and launched a prototype to get proof-of-concept, which resulted in double-digit revenue growth for our first website. Since then, weve garnered top media mentions, raised multiple rounds of funding, and expanded to being a one-stop revenue optimization platform for web publishers. In addition to being a Google NPM AdX Partner, were a Microsoft Ventures backed startup, and winner of the NASSCOM Emerge 50 award. Today, we serve and optimize over 2 billion monthly ad impressions for our 300+ publishing partners worldwide.",
Adya (acquired by Qualys),Software Development,IN,"Adya helps enterprises manage and secure their SaaS applications. 

As enterprises move to cloud applications - GSuite, O365, Slack, etc - they find it difficult to administer this SaaS sprawl. They are confronted with three problems: 

a) Administration: Each new SaaS application brings with it a new management console that an admin has to get familiar with and repeat the same set of steps. This is a waste of time & is error-prone.

b) License Management: While the per-month/ per-user pricing of SaaS apps starts off looking inexpensive, the costs spiral quickly with more users and more SaaS apps. 

c) Security and Compliance : Cloud applications make it very easy to collaborate and to share data widely.  IT would like to know what data is shared, which external users have access and which users are exposing data.

Adya solves these problems. We provide a single tool with the following benefits:

1. Central Administration: Perform the most critical and oft-repeated tasks from a single console to save time and to reduce administrator errors.

2. Security and Compliance: Understand where sensitive data is, who outside the company has access, who inside the company has been sharing it and take steps to prevent it. Get alerted in real-time if sensitive data is exposed..

3. Auditing and Reporting: Get pre-defined & custom reports to understand activity of privileged users, of employees on their way out the door, consultants etc. Prepare reports quickly to satisfy your auditor on who has access to critical data  no matter where in the cloud that data may be.

4. License Management: Understand how many licenses are provisioned for your critical (and expensive!) SaaS applications and get alerted if licenses are under-utilized to find potential savings. Manage your licenses from a single console and get an impartial and independent third party to help save you money.

Try it out at https://www.adya.io/. An overview video is at https://www.youtube.com/watch?v=-XlOQnv2o5o",
AEON Learning,E-Learning Providers,IN,"Forging the Future of Education. AEON Learning is out to disrupt the world of professional education targeting working professionals. AEON Learning now offers a range of options for working professionals ranging from management degrees from prestigious universities to leading edge technology skills taught by highly specialised mentors. Powered by a matchless online technology platform.

Between Avagmah and Acadgild, AEON Learning now offers corporates unmatched range of courses and the flexibility to structure individual packages that meet the organisational needs of corporates from diverse industries.",
Aerchain,Software Development,IN,"Aerchain is the next-generation autonomous sourcing platform that helps enterprises simplify, optimize, and automate their sourcing operations. We are building the worlds most intuitive & intelligent sourcing platform where technology is not just an enabler, but a decision-maker. 
#Aerchain",
Aeron Systems,,IN,"Aeron Systems located in Pune, India, focuses on development of technology applying its expertise in embedded electronics to domains  encompassing aerospace, automotive, renewable energy and agriculture.

The company is offering products in two technology segments, Inertial Sensors and IoT devices. While both technology segments are very vast, Aeron is creating space for itself by following mantra of affordable excellence. Aeron believes that innovation is useful when it is affordable.

Aeron's inertial sensors line of products include Inertial navigation system (INS-GPS), Tilt sensor (inclinometer), Digital magnetic compass, Tilt switch. 

In IoT technology, Aeron is offering wireless data logger, meteorological station for solar power plants, weather station for agriculture and more.   

Aeron was founded by two technopreneurs, products of premier engineering institutes in India. Aeron has multi-dimensional team of engineers. Passion for technology and desire to build great products keep the team running.",
Aerologix,,AU,"Aerologix delivers aerial intelligence on-demand by connecting drone pilots with customers using smartphone technology and purpose-built apps. Flight plans can be auto-generated and dispatched via Aerocloud flight management system. Maps and 3D models of the built and natural environment are created using Aerologix Maps, and data can be viewed and shared in the portal. 

Aerologix has over 27,000 drone pilots on a network across Australia and New Zealand servicing hundreds of satisfied customers in a variety of domains, including construction, utilities, telco, renewables and more! 

If you are a drone pilot looking for work, please download the app from the app stores (both IOS and Android), or if you need aerial intelligence on demand, please check out aerologix.com or contact sales@aerologix.com",
Aertrip,,IN,"Travel is not just an opportunity, rather a feeling that Aertrip wishes to embed in our customers. Since 2012, we have created a ripple effect in creating experiences for our travellers in an effortless manner. At Aertrip, transparency is the key to all our top-notch services. Known to satisfy travel dreams, we make you perpetually rich in experiences and swear to value your money through knowledgeable assistance.

Based in Mumbai, Aertrip has diverse operations across the country. We have an open culture and strongly influence our work ethics based on the core values of quality, dedication, trust and excellence in service.
Over the years, Aertrip has developed an extensive network of business partners, a wealth of experience in the travel industry, and an in-depth knowledge of our exciting, off-the-beaten-path destinations. As a fully-licensed travel agency, we offer over the best deals ---- which can be customised to specific needs and interests globally. 
For more information, visit aertrip.com

Interested in joining us? Check out career opportunities here: linkedin.com/company/aertrip/jobs
aertrip.com/careers

You can also find us here:
Facebook Aertrip - fb.com/aertrip
Instagram @aertrip - instagram.com/aertrip/ #aertrip



Aertrip
aertrip.com",
AerX Labs,Research,IN,"AerX Labs is Bangalore based avionics/flight simulation start-up that makes professional grade certifiable simulators for Airlines, Flight Schools, Universities and Corporate. AerX is currently working on connected simulators and deep learning to assess risk behaviours for pilot training and mixed reality to disrupt the space for innovative, cost competitive simulation. AerX have an installation base of 40+ products including 18 simulators across all segments of customers.

AerX Labs is an Intel India & Bosch India incubated startup",
Aeva,,US,"Aevas mission is to bring the next wave of perception to a broad range of applications from automated driving to industrial robotics, consumer electronics, consumer health, security and beyond. Aeva is transforming autonomy with its groundbreaking sensing and perception technology that integrates all key LiDAR components onto a silicon photonics chip in a compact module. Aeva 4D LiDAR sensors uniquely detect instant velocity in addition to 3D position, allowing autonomous devices like vehicles and robots to make more intelligent and safe decisions.",
Affluence Infosystems,Motor Vehicle Manufacturing,IN,"Affluence Infosystems Pvt. Ltd is an ISO 9001:2015 certified Automotive and Electronics Company incorporated in the year 2013. We develop end-to-end solutions in diverse fields: Electronics, Automotive, Wireless Communications, and Battery Management. We have a strong and dedicated Research & Development team who works rigorously to develop new versions of products or improve current designs. We strive to develop the best technology and services that improve the processes, minimizes the cost & time, and increases efficiency. We work with quality and integrity to deliver innovative products &  services to our customers..

Vision : To deliver superior and sustainable products and services in the fields of  Electronics, Automotive, and Residual energy.

Mission : To deliver superior and sustainable products and services in the fields of  Electronics, Automotive, and Residual energy.",
"Affinsys AI (BankBuddy.ai, TelcoBuddy.ai, InsureBuddy.ai)",,AE,"Affinsys has created domain-specific Global Composite AI platforms enabling Banks, Insurers and Telcos in their AI and Digital customer experience transformation. The platform has the most extensive customer journeys (220+) covering Digital Sales, Onboarding, CX and Engagement in the easiest (low code), scalable (clients with 10 million + customers) and cost-effective way. With live customers across the Middle East, UK, Asia and Africa, our innovations have been recognized by a number of awards 

1.	Winner of Startup world cup  MENA 
2.	Winner of Start-up of the year  Seamless ME 2020
3.	Global Fintech of the Year, FinX Awards 2019, UAE
4.	Top 50 Global Fintech - Abu Dhabi Fintech
5.	Top 50 AI companies  The Mumbai AI summit 
6.	Winner of Finablr IoT challenge for innovative cross border payment solution 
7.	Winner of FE Xcelerate, Vietnam
8.	Winner of Emirates NBD Bank Hyper personalisation challenge  Dubai Chamber Market access
9.	Emirates NBD open banking sandbox  certified fintech
10.	Top 5 Artificial Intelligence Solutions impacting FinTech

BankBuddy is supported by leading innovation accelerators like 
	DIFC Fintech hive, UAE
	Dice Fintech ace, India
	AI ventures  UAE
	Startup Academy of Money2020 Asia, Singapore
	Startup Academy Money2020 Europe, Amsterdam
	Luxembourg Accelerator Bootcamp, Luxembourg
	Microsoft for Startups, UAE
	FE xcelerate, Vietnam
	Village Capital, USA
	JGI Accelerator, India
	Dubai Chamber, Market access & Scaleup
	FintechAccel, USA

Get in touch with us at hello@affinsys.com",
Agatsa,Wellness and Fitness Services,IN,"Agatsa is the World's pioneer in developing the World's smallest 12- Lead ECG device SanketLife! With a key chain size form factor, SanketLife is capable of taking 12-Lead medical grade ECG by anyone, anytime and anywhere. SanketLife is already being used by leading cardiologists and doctors worldwide and is instrumental in quick decision making in times of Heart Diseases with it's accuracy, ease of use and doctor's platform. Agatsa is here with yet another path breaking device inCheck- an all in one  standalone device which can measure Blood pressure, Blood glucose and SpO2 just by TOUCH!",
AGNEXT,Information Technology and Services,IN,"Founded in 2016, AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer. With digitalization of food quality assessment as our core focus, we offer a uniquely integrated, AI-driven SaaS platform to agribusinesses for automated and instant food quality results. 

Incubated at IIT Kharagpur, AgNext got its first seed funding from a-IDEA National Agriculture Research in 2017. In the following years, funding was received from Omnivore and Kalaari venture funds as well. Recently, AgNext bagged the largest series A funding in AgTech space by AWI, Falcon Edge Capital.

Total Funding: $25 Mn+

Awards & Achievements :
- AI Gamechangers award by NASSCOM
- Google for startup accelerator program 
- Finalist in GRAFT Vietnam Challenge 2021
- Most Innovative Agri Startup Award by FICCI
- Finalist in Future Food Asia 2020
- Best AgriTech Startup award by Ministry of Agriculture, India in Outlook awards 2020
- Amongst top 5 in Asia by Rabobank, Singapore
- Best Innovation Award at ESRI India Summit 2018
- Best Product Award by TiEcon
- Agriculture Innovation Award by CII
- Upcoming Startup Award by Assocham
- MoU with Tea Board of India for AI center of excellence for Tea

Phone: +91-8047185818
Email: contact@agnext.com
Website: www.agnext.com",
Agrix,"Agriculture, Construction, Mining Machinery Manufacturing",IN,"An agri-tech company providing a complete farming ecosystem, machinery rental, and mentorship to the farmers.",
eFeed Life Science,Biotechnology Research,GB,"eFeed Life-sciences is an Animal Nutrition & Health company that utilises farm level data of cattle and uses machine learning to- predict potential diseases, recommend localised feeding and estimate milking during the given lactation cycle. 
This helps in proactive diagnostics of animal health and recommendation of the right nutrition, medication, management, etc. for the animal. 
All this information goes in the form of digital advisory to farmers which is free of cost via smartphone. The digital advisory also acts like a digital ration balancing which helps farmers optimise their feed mix both in terms of quality and quantity. 

We further use this data to build high quality nutritional products for the cattle. Since we know the delta of nutritional deficiencies, feed toxicity, raw material nutrition profile we are able to use various types of Vitamins, Minerals, Enzymes, toxin binders & probiotics to fulfil & support the nutritional requirement of the cattle. 

We are a venture capital funded company and have raised more than 1 Million USD since inception in 2021 from the likes of Omnivore, Better Capital, Huddle, AngelList, Lets Venture, Venture Catalyst etc.",
AiNS PeopleTech,Human Resources,IN,"Incubated at the TBIU-FITT at IIT Delhi, AiNS PeopleTech uses state of the art technology to make available suitable people to start working from day one",
AIPL,,IN,"Advance India Projects Limited (AIPL) is India's Premier Real Estate Developer with a multi-dimensional portfolio ranging from Commercial to Retail and Residential Segments. Headquartered in Gurugram with six regional offices in three states across the country.

With 60 Landmark Projects over 31 Years, we have built for ourselves an enviable track record of Innovation, Quality, Timely Delivery and Transparency. Just some of the values that have helped build more worth for our Customers, Partners, Employees and Investors. We have succeeded in Developing, Managing & Pioneering Commercial Spaces by over 70 Multinational Companies & Indian Corporate Houses in 35 of AIPLs Commercial Projects in Delhi, NCR.

At AIPL, each new project is viewed as a chance to elevate our previous success and exceed the expectations of our Customers and create lasting value for our Shareholders.",
airpay payment services,,IN,"airpay is a unique payment platform which helps e-commerce & retail companies collect contact-less payments. We help businesses envision a world beyond cash providing the best experience to merchants and their customers. airpay is an all encompassing payment solution provider, working towards making monetary transactions, simpler, easier and quicker .",
AirProbe,,IN,"AirProbe team carries 35+ years of cumulative experience in Solar PV industry with a mission of developing technologies to improve the performance of Solar PV assets. By launching AirProbe, the team aims to bring tranformation for accelerating Solar PV site commissioning and ensuring maximum power energy generation from individual modules.
Using drone based thermal imaging as a technique to pin point cellular level faults, AirProbe team provides professional consultancy for perfromance improvements of PV plants at both commissioning and operational stages.
Based on requirements, field level electrical performance evaluation using IV-testing and detailed module fault analysis using Electroluminiscence imaging on fields is offered as well.",
akudo,Financial Services,IN,"Hello, there. Lets cut the fluff here; Were akudo: trying to build a seamless, sleek & fun neo-bank for teens. The market is 250 mn+ teens and we have 251mn+ ideas to change the banking industry for the young forever. Weve managed to build a community of 1mn+ teens in just a span of 7 months. Crazy, right? 🤌 

We have ONE aim: to make sure Gen-z is money-smart. Through every means possible, thats our motive. With multiple features dedicated to learning, our product is ever-evolving to turn that dream into reality 

Now coming to work culture. When we say we have a work culture thats transparent, friendly, fun, nurturing, collaborative & up-skilling, we mean it. We truly mean it 

Every voice is heard. 
Every idea is entertained.   
Every milestone is celebrated. 

Welcome to akudo ",
Algonation,Personal Care Product Manufacturing,US,"ALGONATION is an Indian software company in Mumbai, Maharashtra which offers web services and software solutions which can compete with the current market requirements. We provide services that help you grow your business globally. We develop static, dynamic and e-commerce websites, Android and Cross-platform mobile application. We aslo design logos, posters and banners. We also offer services of SEO, SMM & trademark registration.
We put in our best efforts to provide assured quality service and meeting customers deadline. We have a team of specialized people inorder to provide internet technology and software solutions at most reasonable cost without compromising on the quality. Client Satisfaction is our sole objective. If your need is what we provide then feel free to contact us.",
AlgoShack,IT Services and IT Consulting,IN,"Re-Imagine Testing with algoQA

The Digital economy is pushing software companies to refresh products in short order. Companies are under tremendous cost-and-time pressure. Faster time-to-market with no compromise on quality & reliability, at a lower cost, is the need. Software testing in such a scenario needs to be quick and responsive to the constantly evolving software. This is where algoQA, by Algoshack Technologies steps-in.  algoQA is a born-agile platform that transforms software quality engineering by enabling a design first outlook. We have re-imagined testing with algoQA, a low code, no code platform that can auto generate test cases and test scripts that can be played back in technologies of your choice, giving you the freedom to not be locked-in to an automation platform.

The low code / no code, easy to learn platform is technology agnostic, and covers Web, Desktop, Mobile & Hybrid Applications, as well as applications for Robotic Process Automation and Embedded technologies. It supports UI Based Test Automation, API Test Automation and Load Test Automation, by producing an optimal number of test cases written in Gherkin language along with datasets, and executable test scripts.  The platform produces scripts in the technology of choice and the scripts can be executed anywhere. All it takes is a simple profiling of the application under test using Drag & Drop & Wizards.   

Join Us
Be a part of this incredible team as we disrupt software delivery for the better.

Connect with us:
E-mail: info@algoshack.com
Facebook: www.facebook.com/algoshacktechnologies/
Instagram: https://www.instagram.com/algoshack_/",
Alippo,"Technology, Information and Internet",IN,"Alippo is India's first LIVE upskilling academy for Indian women to set up a home business. We conduct live classes in categories like baking, cooking, stitching, chocolate making, makeup, hairstyling and so on. Having trained 2 lac+ women so far, we are only getting started!",
AlmaMapper Technologies,"Technology, Information and Internet",IN,"AlmaMapper is an education and employment oriented networking platform for students that operates via websites and mobile apps.

AlmaMapper.com is a one-stop discovery platform for students to search Campuses, Alumni, Notes, Courses, Events, Jobs & Internships. 

Colleges use AlmaMapper for alumni management system, campus branding and promotions, placement dashboard, assessment platform and admission leads.

Companies get an integrated SaaS based recruitment automation system integrated with the AlmaMapper platform. This platform is used by companies in recruiting talent from across India. 

Our story in numbers so far: 

Registered Users- 800,000+ | Candidates Placed-3000+| Company Tie-Ups- 300+ | College Listed- 10000+",
Almug Technologies,IT Services and IT Consulting,IN,"Almug is an A.I. technology first company with deep domain expertise in Capital Markets

We are a trusted AI partner to our customers for their financial data and solution needs. We are a customer-centric company and deliver data products at industry leading time and accuracy. We use technology and design thinking to provide systems which deliver comprehensive and strategic insights to augment our client's business decision frameworks.

Partner with us for efficient data and decision support solutions to save on your time, efforts, resources and cost.",
alrt.ai,Information Services,GB,alrt.ai,
Altor Smart Mobility,Public Safety,IN,"Altor is a brand owned by Praesus Technologies, building the world's first set of software & hardware-enabled solutions to make bike rides easier, safer and more efficient - specifically targeted towards increasing the fleet efficiency of two-wheeler driven economies in the delivery, logistics and bike-sharing sectors.",
Altruist Technologies Pvt. Ltd.,IT Services and IT Consulting,IN,"Started in the year 2005, Altruist Technologies has emerged as a front runner in the Mobile Social Networking space in India, Indonesia & Nigeria and fast spreading to other similar geographies. Besides its flagship voice based mobile social network it runs jobsonphone, manages end to end the mobile/digital strategy for multiple media clients and brands, hosts and manages voice infrastructure for leading content owners and distributors. It has made successful forays into M-Governance, Handset based applications and a Video sharing platform.

Altruist has emerged as a proven company in the field of Voice and Web Based Value Added Services, Business Process Outsourcing , Information Technology and Interactive Communication solutions to Carrier, WASP, ISP, CSP and Corporate clients with its diligence, operations reviews, analysis of business prospects and interim management.

Altruist is the clear market leader in the social networking domain of the Indian MVAS market. It has got strong technology capabilities to provide an array of services in the MVAS space. Altruist has tie-ups with all leading Indian Telecom Operators and with a collective reach of over 55% of the total mobile subscribers.",
